parent_concept,pred_count,pred_pct,avg_confidence,n_child_concepts_predicted,n_countries
vegetation_farm_tropical,3,0.09535918626827718,0.3564425855875015,1,1
vegetation_floral,3,0.09535918626827718,0.15354499220848083,3,2
vegetation_shrubland_arid,3,0.09535918626827718,0.24243847032388052,3,1
Esprito Santo - Exposed rock,3,0.09535918626827718,0.18445381770531336,2,3
infrastructure_road,3,0.09535918626827718,0.22887864460547766,3,2
script_greek,2,0.06357279084551812,0.12802685797214508,2,1
landscape_lake_wet,2,0.06357279084551812,0.37308353930711746,2,2
landscape_flatland_arid,2,0.06357279084551812,0.414914608001709,1,1
road_tropical,2,0.06357279084551812,0.14707085490226746,2,2
Via del Mar Coastline,2,0.06357279084551812,0.1699727512896061,2,1
infrastructure_lamp,2,0.06357279084551812,0.18973537534475327,2,2
Volcn Tromen,2,0.06357279084551812,0.5122711509466171,1,1
El Can,2,0.06357279084551812,0.22344940900802612,1,1
landscape_grassland,2,0.06357279084551812,0.35296791791915894,2,1
landscape_plateau_temperate,2,0.06357279084551812,0.20990590751171112,1,1
landscape_coastline_tropical,2,0.06357279084551812,0.19265884906053543,2,2
landscape_coastline_arid,2,0.06357279084551812,0.17671718448400497,2,2
landscape_grassland_temperate,2,0.06357279084551812,0.23756389319896698,2,1
sticker,2,0.06357279084551812,0.14894689247012138,2,1
Paran pole markings,2,0.06357279084551812,0.27185622602701187,2,1
railroad,2,0.06357279084551812,0.13701224327087402,2,2
vegetation_shrubland,2,0.06357279084551812,0.09470681473612785,2,2
landscape_winter,1,0.03178639542275906,0.40667203068733215,1,1
vegetation_agave,1,0.03178639542275906,0.24808287620544434,1,1
infrastructure_lamps,1,0.03178639542275906,0.08784777671098709,1,1
Volcn Diamante,1,0.03178639542275906,0.1418977826833725,1,1
script_south_american,1,0.03178639542275906,0.1308630257844925,1,1
road_gravel,1,0.03178639542275906,0.13134296238422394,1,1
vegetation_rice,1,0.03178639542275906,0.28165996074676514,1,1
road_utility,1,0.03178639542275906,0.09118343144655228,1,1
landscape_fields,1,0.03178639542275906,0.18853749334812164,1,1
Futaleuf National Reserve,1,0.03178639542275906,0.09054510295391083,1,1
landscape_lake,1,0.03178639542275906,0.17750222980976105,1,1
Las Leas,1,0.03178639542275906,0.22399654984474182,1,1
road_dirt_arid,1,0.03178639542275906,0.24208535254001617,1,1
Qubec French speed limit signs,1,0.03178639542275906,0.21164743602275848,1,1
urban_artifacts,1,0.03178639542275906,0.4893498718738556,1,1
vegetation_coastline,1,0.03178639542275906,0.11496581137180328,1,1
landscape_coastline_temperate,1,0.03178639542275906,0.21252824366092682,1,1
Bay of Concepcin - Ruta 164,1,0.03178639542275906,0.053523361682891846,1,1
landscape_flatland_tropical,1,0.03178639542275906,0.13158036768436432,1,1
landscape_ridge,1,0.03178639542275906,0.19245456159114838,1,1
Hualpn Peninsula Gen 4,1,0.03178639542275906,0.07857826352119446,1,1
landscape_coastline,1,0.03178639542275906,0.1792353093624115,1,1
vegetation_moss,1,0.03178639542275906,0.12358179688453674,1,1
script_celtic,1,0.03178639542275906,0.08465981483459473,1,1
road_rural,1,0.03178639542275906,0.07677009701728821,1,1
